date,candidate_area_m2,confirmed_area_m2
2017-01-14,0.0,0.0
2017-01-24,0.0,0.0
2017-02-23,0.0,0.0
2017-04-04,0.0,0.0
2017-04-24,2500.0,0.0
2017-05-14,2700.0,0.0
2017-10-16,0.0,0.0
2017-11-10,0.0,0.0
2017-11-25,0.0,0.0
2017-11-30,0.0,0.0
2017-12-15,0.0,0.0
2017-12-25,0.0,0.0
2018-01-14,300.0,0.0
2018-01-24,800.0,0.0
2018-01-29,800.0,0.0
2018-02-03,1200.0,0.0
2018-02-08,300.0,0.0
2018-02-23,300.0,200.0
2018-03-10,600.0,200.0
2018-03-30,500.0,300.0
2018-04-09,300.0,300.0
2018-04-19,1100.0,300.0
2018-10-01,300.0,300.0
2018-10-16,300.0,300.0
2018-10-26,300.0,300.0
2018-11-15,400.0,300.0
2018-11-20,400.0,300.0
2018-11-25,400.0,300.0
2018-12-15,800.0,300.0
2018-12-20,400.0,300.0
2018-12-25,800.0,400.0
2018-12-30,800.0,400.0
2019-01-04,800.0,400.0
2019-01-09,1100.0,400.0
2019-01-14,1100.0,400.0
2019-01-19,400.0,400.0
2019-01-24,400.0,400.0
2019-01-29,400.0,400.0
2019-02-03,400.0,400.0
2019-02-08,400.0,400.0
2019-02-13,400.0,400.0
2019-02-18,400.0,400.0
2019-02-23,400.0,400.0
2019-02-28,400.0,400.0
2019-03-05,400.0,400.0
2019-03-10,400.0,400.0
2019-03-15,400.0,400.0
2019-03-20,400.0,400.0
2019-03-25,400.0,400.0
2019-03-30,400.0,400.0
2019-04-04,400.0,400.0
2019-04-09,400.0,400.0
2019-04-14,400.0,400.0
2019-04-19,400.0,400.0
2019-04-24,400.0,400.0
2019-04-29,400.0,400.0
2019-05-04,400.0,400.0
2019-05-09,1400.0,400.0
2019-05-14,1200.0,400.0
2019-05-19,3800.0,400.0
2019-05-24,2700.0,400.0
2019-05-29,3200.0,400.0
2019-06-03,2000.0,400.0
2019-06-08,5400.0,400.0
2019-06-13,400.0,400.0
2019-06-18,17800.0,400.0
2019-06-23,500.0,400.0
2019-06-28,500.0,400.0
2019-07-03,14600.0,400.0
2019-07-08,15200.0,400.0
2019-07-13,3100.0,400.0
2019-07-18,400.0,400.0
2019-07-23,1900.0,400.0
2019-07-28,2900.0,400.0
2019-08-02,8600.0,400.0
2019-08-07,400.0,400.0
2019-08-12,500.0,400.0
2019-08-17,400.0,400.0
2019-08-22,400.0,400.0
2019-08-27,400.0,400.0
2019-09-01,400.0,400.0
2019-09-06,400.0,400.0
2019-09-11,400.0,400.0
2019-09-16,400.0,400.0
2019-09-21,400.0,400.0
2019-09-26,3100.0,400.0
2019-10-01,400.0,400.0
2019-10-06,400.0,400.0
2019-10-11,400.0,400.0
2019-10-16,400.0,400.0
2019-10-21,400.0,400.0
2019-10-26,400.0,400.0
2019-10-31,400.0,400.0
2019-11-05,400.0,400.0
2019-11-10,400.0,400.0
2019-11-15,400.0,400.0
2019-11-20,400.0,400.0
2019-11-25,400.0,400.0
2019-11-30,400.0,400.0
2019-12-05,400.0,400.0
2019-12-10,400.0,400.0
2019-12-15,800.0,400.0
2019-12-20,1500.0,400.0
2019-12-25,400.0,400.0
2019-12-30,400.0,400.0
2020-01-04,400.0,400.0
2020-01-09,400.0,400.0
2020-01-14,400.0,400.0
2020-01-19,400.0,400.0
2020-01-24,400.0,400.0
2020-01-29,3600.0,400.0
2020-02-03,400.0,400.0
2020-02-08,400.0,400.0
2020-02-13,400.0,400.0
2020-02-18,400.0,400.0
2020-02-23,400.0,400.0
2020-02-28,400.0,400.0
2020-03-04,400.0,400.0
2020-03-09,1900.0,400.0
2020-03-14,1100.0,400.0
2020-03-19,900.0,400.0
2020-03-24,1100.0,400.0
2020-03-29,400.0,400.0
2020-04-03,2400.0,400.0
2020-04-08,1800.0,400.0
2020-04-13,1900.0,400.0
2020-04-18,18800.0,400.0
2020-04-23,400.0,400.0
2020-04-28,4000.0,400.0
2020-05-03,4400.0,400.0
2020-05-08,5700.0,400.0
2020-05-13,8200.0,400.0
2020-05-18,6400.0,400.0
2020-05-23,8600.0,400.0
2020-05-28,7300.0,400.0
2020-06-02,10400.0,400.0
2020-06-07,6200.0,400.0
2020-06-12,400.0,400.0
2020-06-17,400.0,400.0
2020-06-22,4700.0,400.0
2020-06-27,11800.0,400.0
2020-07-02,1700.0,400.0
2020-07-07,400.0,400.0
2020-07-12,400.0,400.0
2020-07-17,400.0,400.0
2020-07-22,8900.0,400.0
2020-07-27,800.0,400.0
2020-08-01,4800.0,400.0
2020-08-06,5700.0,400.0
2020-08-11,400.0,400.0
2020-08-16,400.0,400.0
2020-08-21,400.0,400.0
2020-08-26,400.0,400.0
2020-08-31,400.0,400.0
2020-09-05,400.0,400.0
2020-09-10,400.0,400.0
2020-09-15,400.0,400.0
2020-09-20,400.0,400.0
2020-09-25,400.0,400.0
2020-09-30,400.0,400.0
2020-10-05,400.0,400.0
2020-10-10,400.0,400.0
2020-10-15,800.0,400.0
2020-10-20,500.0,400.0
2020-10-25,800.0,400.0
2020-10-30,1000.0,400.0
2020-11-04,1300.0,400.0
2020-11-09,1500.0,400.0
2020-11-14,2100.0,400.0
2020-11-19,800.0,400.0
2020-11-24,1700.0,400.0
2020-11-29,2100.0,400.0
2020-12-04,1800.0,400.0
2020-12-09,1700.0,500.0
2020-12-14,800.0,500.0
2020-12-19,1700.0,500.0
2020-12-24,2100.0,600.0
2020-12-29,1100.0,600.0
2021-01-03,600.0,600.0
2021-01-08,1700.0,600.0
2021-01-13,1700.0,600.0
2021-01-18,1700.0,600.0
2021-01-23,1700.0,600.0
2021-01-28,2600.0,600.0
2021-02-02,1700.0,600.0
2021-02-07,2500.0,600.0
2021-02-12,600.0,600.0
2021-02-17,1700.0,600.0
2021-02-22,2500.0,700.0
2021-02-27,3200.0,700.0
2021-03-04,3700.0,700.0
2021-03-09,5400.0,700.0
2021-03-14,3600.0,700.0
2021-03-19,700.0,700.0
2021-03-24,4800.0,700.0
2021-03-29,5200.0,700.0
2021-04-03,6500.0,700.0
2021-04-08,3600.0,700.0
2021-04-13,3900.0,700.0
2021-04-18,6900.0,700.0
2021-04-23,700.0,700.0
2021-04-28,700.0,700.0
2021-05-03,7300.0,700.0
2021-05-08,700.0,700.0
2021-05-13,2100.0,700.0
2021-05-18,6900.0,700.0
2021-05-23,3200.0,700.0
2021-05-28,1300.0,700.0
2021-06-02,4800.0,700.0
2021-06-07,700.0,700.0
2021-06-12,700.0,700.0
2021-06-17,700.0,700.0
2021-06-22,4800.0,700.0
2021-06-27,1300.0,700.0
2021-07-02,900.0,700.0
2021-07-07,900.0,700.0
