date,excavated_area_m2,normalized_excavation
2017-01-14,32300.0,0.19973131489285456
2017-02-23,40100.0,0.24796364480506092
2017-04-04,40100.0,0.24796364480506092
2017-10-16,40100.0,0.24796364480506092
2017-11-30,41100.0,0.25414727684508737
2017-12-05,42900.0,0.265277814517135
2017-12-15,43000.0,0.26589617772113766
2017-12-25,44900.0,0.2776450785971879
2018-01-14,47900.0,0.2961959747172673
2018-01-24,47900.0,0.2961959747172673
2018-02-03,47900.0,0.2961959747172673
2018-02-08,47900.0,0.2961959747172673
2018-02-23,47900.0,0.2961959747172673
2018-03-10,47900.0,0.2961959747172673
2018-11-25,47900.0,0.2961959747172673
2018-12-15,48000.0,0.29681433792126993
2018-12-20,48000.0,0.29681433792126993
2018-12-25,48100.0,0.2974327011252726
2018-12-30,49700.0,0.3073265123893149
2019-01-04,49700.0,0.3073265123893149
2019-01-09,49700.0,0.3073265123893149
2019-01-14,49700.0,0.3073265123893149
2019-01-19,50100.0,0.3097999652053255
2019-01-24,50100.0,0.3097999652053255
2019-01-29,50300.0,0.31103669161333075
2019-02-03,50500.0,0.31227341802133607
2019-02-08,50500.0,0.31227341802133607
2019-02-13,51700.0,0.3196937764693678
2019-02-18,52000.0,0.32154886608137573
2019-02-23,53300.0,0.3295875877334101
2019-02-28,55400.0,0.3425732150174657
2019-03-05,56700.0,0.3506119366695001
2019-03-10,62000.0,0.3833851864816403
2019-03-15,62000.0,0.3833851864816403
2019-03-20,72200.0,0.4464582332899102
2019-03-25,74800.0,0.462535676593979
2019-03-30,82900.0,0.5126230961181932
2019-04-04,84600.0,0.5231352705862382
2019-04-09,85900.0,0.5311739922382727
2019-04-14,87700.0,0.5423045299103203
2019-04-19,90700.0,0.5608554260303996
2019-04-24,92300.0,0.5707492372944419
2019-04-29,92300.0,0.5707492372944419
2019-05-04,92300.0,0.5707492372944419
2019-05-09,92300.0,0.5707492372944419
2019-05-14,92300.0,0.5707492372944419
2019-05-19,92300.0,0.5707492372944419
2019-05-24,92300.0,0.5707492372944419
2019-05-29,92300.0,0.5707492372944419
2019-06-03,92300.0,0.5707492372944419
2019-06-08,92300.0,0.5707492372944419
2019-06-13,92300.0,0.5707492372944419
2019-06-18,92300.0,0.5707492372944419
2019-06-23,92300.0,0.5707492372944419
2019-06-28,92300.0,0.5707492372944419
2019-07-03,92300.0,0.5707492372944419
2019-07-08,92300.0,0.5707492372944419
2019-07-13,92300.0,0.5707492372944419
2019-07-18,92300.0,0.5707492372944419
2019-07-23,92300.0,0.5707492372944419
2019-07-28,92300.0,0.5707492372944419
2019-08-02,92300.0,0.5707492372944419
2019-08-07,92300.0,0.5707492372944419
2019-08-12,92300.0,0.5707492372944419
2019-08-17,92300.0,0.5707492372944419
2019-08-22,92300.0,0.5707492372944419
2019-08-27,92300.0,0.5707492372944419
2019-09-01,92300.0,0.5707492372944419
2019-09-06,92300.0,0.5707492372944419
2019-09-11,92300.0,0.5707492372944419
2019-09-16,92300.0,0.5707492372944419
2019-09-21,92300.0,0.5707492372944419
2019-09-26,92300.0,0.5707492372944419
2019-10-01,92300.0,0.5707492372944419
2019-10-06,92300.0,0.5707492372944419
2019-10-11,92300.0,0.5707492372944419
2019-10-16,92300.0,0.5707492372944419
2019-10-21,92300.0,0.5707492372944419
2019-10-26,92300.0,0.5707492372944419
2019-10-31,92300.0,0.5707492372944419
2019-11-05,92300.0,0.5707492372944419
2019-11-10,92300.0,0.5707492372944419
2019-11-15,92300.0,0.5707492372944419
2019-11-20,92300.0,0.5707492372944419
2019-11-25,92300.0,0.5707492372944419
2019-11-30,92300.0,0.5707492372944419
2019-12-05,92300.0,0.5707492372944419
2019-12-10,92300.0,0.5707492372944419
2019-12-15,92300.0,0.5707492372944419
2019-12-20,92300.0,0.5707492372944419
2019-12-25,92300.0,0.5707492372944419
2019-12-30,92300.0,0.5707492372944419
2020-01-04,92300.0,0.5707492372944419
2020-01-09,92300.0,0.5707492372944419
2020-01-14,92300.0,0.5707492372944419
2020-01-19,92300.0,0.5707492372944419
2020-01-24,92300.0,0.5707492372944419
2020-01-29,92300.0,0.5707492372944419
2020-02-03,92300.0,0.5707492372944419
2020-02-08,92300.0,0.5707492372944419
2020-02-13,92300.0,0.5707492372944419
2020-02-18,92300.0,0.5707492372944419
2020-02-23,92300.0,0.5707492372944419
2020-02-28,92300.0,0.5707492372944419
2020-03-04,92300.0,0.5707492372944419
2020-03-09,92300.0,0.5707492372944419
2020-03-14,92300.0,0.5707492372944419
2020-03-19,92300.0,0.5707492372944419
2020-03-24,92300.0,0.5707492372944419
2020-03-29,92300.0,0.5707492372944419
2020-04-03,92300.0,0.5707492372944419
2020-04-08,92300.0,0.5707492372944419
2020-04-13,92300.0,0.5707492372944419
2020-04-18,92300.0,0.5707492372944419
2020-04-23,92300.0,0.5707492372944419
2020-04-28,92300.0,0.5707492372944419
2020-05-03,92300.0,0.5707492372944419
2020-05-08,92300.0,0.5707492372944419
2020-05-13,92300.0,0.5707492372944419
2020-05-18,92300.0,0.5707492372944419
2020-05-23,92300.0,0.5707492372944419
2020-05-28,92300.0,0.5707492372944419
2020-06-02,92300.0,0.5707492372944419
2020-06-07,92300.0,0.5707492372944419
2020-06-12,92300.0,0.5707492372944419
2020-06-17,92300.0,0.5707492372944419
2020-06-22,92300.0,0.5707492372944419
2020-06-27,92300.0,0.5707492372944419
2020-07-02,92300.0,0.5707492372944419
2020-07-07,92300.0,0.5707492372944419
2020-07-12,92300.0,0.5707492372944419
2020-07-17,92300.0,0.5707492372944419
2020-07-22,92300.0,0.5707492372944419
2020-07-27,92300.0,0.5707492372944419
2020-08-01,92300.0,0.5707492372944419
2020-08-06,92300.0,0.5707492372944419
2020-08-11,92300.0,0.5707492372944419
2020-08-16,92300.0,0.5707492372944419
2020-08-21,92300.0,0.5707492372944419
2020-08-26,92300.0,0.5707492372944419
2020-08-31,92300.0,0.5707492372944419
2020-09-05,92300.0,0.5707492372944419
2020-09-10,92300.0,0.5707492372944419
2020-09-15,92300.0,0.5707492372944419
2020-09-20,92300.0,0.5707492372944419
2020-09-25,92300.0,0.5707492372944419
2020-09-30,92300.0,0.5707492372944419
2020-10-05,92300.0,0.5707492372944419
2020-10-10,92300.0,0.5707492372944419
2020-10-15,92300.0,0.5707492372944419
2020-10-20,92300.0,0.5707492372944419
2020-10-25,92300.0,0.5707492372944419
2020-10-30,92300.0,0.5707492372944419
2020-11-04,92300.0,0.5707492372944419
2020-11-09,92300.0,0.5707492372944419
2020-11-14,92300.0,0.5707492372944419
2020-11-19,92300.0,0.5707492372944419
2020-11-24,92300.0,0.5707492372944419
2020-11-29,92300.0,0.5707492372944419
2020-12-04,92300.0,0.5707492372944419
2020-12-09,92300.0,0.5707492372944419
2020-12-14,92300.0,0.5707492372944419
2020-12-19,92300.0,0.5707492372944419
2020-12-24,92300.0,0.5707492372944419
2020-12-29,92300.0,0.5707492372944419
2021-01-03,92300.0,0.5707492372944419
2021-01-08,92300.0,0.5707492372944419
2021-01-13,92300.0,0.5707492372944419
2021-01-18,92300.0,0.5707492372944419
2021-01-23,92300.0,0.5707492372944419
2021-01-28,92300.0,0.5707492372944419
2021-02-02,92300.0,0.5707492372944419
2021-02-07,92300.0,0.5707492372944419
2021-02-12,92300.0,0.5707492372944419
2021-02-17,92700.0,0.5732226901104526
2021-02-22,92700.0,0.5732226901104526
2021-02-27,92700.0,0.5732226901104526
2021-03-04,92900.0,0.5744594165184578
2021-03-09,92900.0,0.5744594165184578
2021-03-14,92900.0,0.5744594165184578
2021-03-19,92900.0,0.5744594165184578
2021-03-24,92900.0,0.5744594165184578
2021-03-29,92900.0,0.5744594165184578
2021-04-03,93000.0,0.5750777797224604
2021-04-08,93000.0,0.5750777797224604
2021-04-13,93000.0,0.5750777797224604
2021-04-18,93000.0,0.5750777797224604
2021-04-23,93000.0,0.5750777797224604
2021-04-28,93000.0,0.5750777797224604
2021-05-03,93000.0,0.5750777797224604
2021-05-08,93000.0,0.5750777797224604
2021-05-13,93000.0,0.5750777797224604
2021-05-18,93000.0,0.5750777797224604
2021-05-23,93000.0,0.5750777797224604
2021-05-28,93000.0,0.5750777797224604
2021-06-02,93000.0,0.5750777797224604
2021-06-07,93000.0,0.5750777797224604
2021-06-12,93000.0,0.5750777797224604
2021-06-17,93000.0,0.5750777797224604
2021-06-22,93000.0,0.5750777797224604
2021-06-27,93000.0,0.5750777797224604
2021-07-02,93000.0,0.5750777797224604
2021-07-07,93000.0,0.5750777797224604
2021-07-12,93000.0,0.5750777797224604
2021-07-17,93000.0,0.5750777797224604
2021-07-22,93000.0,0.5750777797224604
2021-07-27,93000.0,0.5750777797224604
2021-08-01,93000.0,0.5750777797224604
2021-08-06,93000.0,0.5750777797224604
2021-08-11,93000.0,0.5750777797224604
2021-08-16,93000.0,0.5750777797224604
2021-08-21,93000.0,0.5750777797224604
2021-08-26,93000.0,0.5750777797224604
2021-08-31,93000.0,0.5750777797224604
2021-09-05,93000.0,0.5750777797224604
2021-09-10,93000.0,0.5750777797224604
2021-09-15,93000.0,0.5750777797224604
2021-09-20,93000.0,0.5750777797224604
2021-09-25,93000.0,0.5750777797224604
2021-09-30,93000.0,0.5750777797224604
2021-10-05,93000.0,0.5750777797224604
2021-10-10,93000.0,0.5750777797224604
2021-10-15,93000.0,0.5750777797224604
2021-10-20,93000.0,0.5750777797224604
2021-10-25,93000.0,0.5750777797224604
2021-10-30,93000.0,0.5750777797224604
2021-11-04,93000.0,0.5750777797224604
2021-11-14,93000.0,0.5750777797224604
2021-11-19,93000.0,0.5750777797224604
2021-11-24,93000.0,0.5750777797224604
2021-11-29,93000.0,0.5750777797224604
2021-12-04,93000.0,0.5750777797224604
2021-12-09,93000.0,0.5750777797224604
2021-12-19,93000.0,0.5750777797224604
2021-12-24,93000.0,0.5750777797224604
2021-12-29,93000.0,0.5750777797224604
2022-01-03,93000.0,0.5750777797224604
2022-01-08,93000.0,0.5750777797224604
2022-01-13,93000.0,0.5750777797224604
2022-01-18,93000.0,0.5750777797224604
2022-01-23,93000.0,0.5750777797224604
2022-01-28,93000.0,0.5750777797224604
2022-02-02,93000.0,0.5750777797224604
2022-02-07,93000.0,0.5750777797224604
2022-02-12,93000.0,0.5750777797224604
2022-02-17,93000.0,0.5750777797224604
2022-02-22,93000.0,0.5750777797224604
2022-02-27,93000.0,0.5750777797224604
2022-03-04,93800.0,0.5800246853544816
2022-03-09,93800.0,0.5800246853544816
2022-03-14,94100.0,0.5818797749664896
2022-03-19,94100.0,0.5818797749664896
2022-03-24,95200.0,0.5886817702105187
2022-03-29,95700.0,0.5917735862305319
2022-04-03,96300.0,0.5954837654545477
2022-04-08,96300.0,0.5954837654545477
2022-04-13,96300.0,0.5954837654545477
2022-04-18,98200.0,0.607232666330598
2022-04-23,98500.0,0.609087755942606
2022-04-28,98500.0,0.609087755942606
2022-05-03,98500.0,0.609087755942606
2022-05-08,98500.0,0.609087755942606
2022-05-13,98500.0,0.609087755942606
2022-05-18,98500.0,0.609087755942606
2022-05-23,98500.0,0.609087755942606
2022-05-28,98500.0,0.609087755942606
2022-06-02,98500.0,0.609087755942606
2022-06-07,98500.0,0.609087755942606
2022-06-12,98500.0,0.609087755942606
2022-06-17,98500.0,0.609087755942606
2022-06-22,98500.0,0.609087755942606
2022-06-27,98500.0,0.609087755942606
2022-07-02,98500.0,0.609087755942606
2022-07-07,98500.0,0.609087755942606
2022-07-12,98500.0,0.609087755942606
2022-07-17,98500.0,0.609087755942606
2022-07-22,98500.0,0.609087755942606
2022-07-27,98500.0,0.609087755942606
2022-08-01,98500.0,0.609087755942606
2022-08-06,98500.0,0.609087755942606
2022-08-11,98500.0,0.609087755942606
2022-08-16,98500.0,0.609087755942606
2022-08-21,98500.0,0.609087755942606
2022-08-26,98500.0,0.609087755942606
2022-08-31,98500.0,0.609087755942606
2022-09-05,98500.0,0.609087755942606
2022-09-10,98500.0,0.609087755942606
2022-09-15,98500.0,0.609087755942606
2022-09-20,98500.0,0.609087755942606
2022-09-25,98500.0,0.609087755942606
2022-09-30,98500.0,0.609087755942606
2022-10-05,98500.0,0.609087755942606
2022-10-10,98500.0,0.609087755942606
2022-10-15,98500.0,0.609087755942606
2022-10-20,98500.0,0.609087755942606
2022-10-25,98500.0,0.609087755942606
2022-10-30,98500.0,0.609087755942606
2022-11-04,98500.0,0.609087755942606
2022-11-09,98500.0,0.609087755942606
2022-11-14,98500.0,0.609087755942606
2022-11-19,98500.0,0.609087755942606
2022-11-24,98500.0,0.609087755942606
2022-11-29,98500.0,0.609087755942606
2022-12-04,98500.0,0.609087755942606
2022-12-09,98500.0,0.609087755942606
2022-12-14,98500.0,0.609087755942606
2022-12-19,98500.0,0.609087755942606
2022-12-24,98500.0,0.609087755942606
2022-12-29,98500.0,0.609087755942606
2023-01-03,98500.0,0.609087755942606
2023-01-08,98500.0,0.609087755942606
2023-01-13,98500.0,0.609087755942606
2023-01-18,98500.0,0.609087755942606
2023-01-23,98500.0,0.609087755942606
2023-01-28,98500.0,0.609087755942606
2023-02-02,98500.0,0.609087755942606
2023-02-07,98500.0,0.609087755942606
2023-02-12,98500.0,0.609087755942606
2023-02-17,98500.0,0.609087755942606
2023-02-22,98500.0,0.609087755942606
2023-02-27,98500.0,0.609087755942606
2023-03-04,98500.0,0.609087755942606
2023-03-09,98500.0,0.609087755942606
2023-03-14,98500.0,0.609087755942606
2023-03-19,98500.0,0.609087755942606
2023-03-24,98500.0,0.609087755942606
2023-03-29,98500.0,0.609087755942606
2023-04-03,98500.0,0.609087755942606
2023-04-08,98500.0,0.609087755942606
2023-04-13,98500.0,0.609087755942606
2023-04-18,98500.0,0.609087755942606
2023-04-23,98500.0,0.609087755942606
2023-04-28,98500.0,0.609087755942606
2023-05-03,98500.0,0.609087755942606
2023-05-08,98500.0,0.609087755942606
2023-05-13,98500.0,0.609087755942606
2023-05-18,98500.0,0.609087755942606
2023-05-23,98500.0,0.609087755942606
2023-05-28,98500.0,0.609087755942606
2023-06-02,98500.0,0.609087755942606
2023-06-07,98500.0,0.609087755942606
2023-06-12,98500.0,0.609087755942606
2023-06-17,98500.0,0.609087755942606
2023-06-22,98500.0,0.609087755942606
2023-06-27,98500.0,0.609087755942606
2023-07-02,98500.0,0.609087755942606
2023-07-07,98500.0,0.609087755942606
2023-07-12,98500.0,0.609087755942606
2023-07-17,98500.0,0.609087755942606
2023-07-22,98500.0,0.609087755942606
2023-07-27,98500.0,0.609087755942606
2023-08-01,98500.0,0.609087755942606
2023-08-06,98500.0,0.609087755942606
2023-08-11,98500.0,0.609087755942606
2023-08-16,98500.0,0.609087755942606
2023-08-21,98500.0,0.609087755942606
2023-08-26,98500.0,0.609087755942606
2023-08-31,98500.0,0.609087755942606
2023-09-05,98500.0,0.609087755942606
2023-09-10,98500.0,0.609087755942606
2023-09-15,98500.0,0.609087755942606
2023-09-20,98500.0,0.609087755942606
2023-09-25,98500.0,0.609087755942606
