date,candidate_area_m2,confirmed_area_m2
2017-01-01,900.0,0.0
2017-01-31,900.0,0.0
2017-02-10,2000.0,0.0
2017-03-02,1900.0,900.0
2017-03-22,3100.0,900.0
2017-12-22,2300.0,2300.0
2017-12-27,2400.0,2300.0
2018-01-01,2400.0,2300.0
2018-01-11,2400.0,2300.0
2018-01-16,2400.0,2300.0
2018-01-21,2400.0,2300.0
2018-02-15,2300.0,2300.0
2018-03-07,3200.0,2300.0
2018-03-12,3600.0,2300.0
2018-03-22,3500.0,2300.0
2018-03-27,3500.0,2300.0
2018-04-21,4200.0,3100.0
2018-06-10,3100.0,3100.0
2018-11-12,3100.0,3100.0
2018-11-17,3100.0,3100.0
2018-12-17,3100.0,3100.0
2018-12-22,3100.0,3100.0
2018-12-27,3100.0,3100.0
2019-01-01,3100.0,3100.0
2019-01-06,3100.0,3100.0
2019-01-11,3100.0,3100.0
2019-01-16,3100.0,3100.0
2019-01-21,3100.0,3100.0
2019-01-26,3100.0,3100.0
2019-01-31,3100.0,3100.0
2019-02-05,3100.0,3100.0
2019-02-10,3100.0,3100.0
2019-02-15,3100.0,3100.0
2019-02-20,3100.0,3100.0
2019-02-25,3100.0,3100.0
2019-03-02,3100.0,3100.0
2019-03-07,3100.0,3100.0
2019-03-12,3100.0,3100.0
2019-03-17,3100.0,3100.0
2019-03-22,3100.0,3100.0
2019-03-27,3100.0,3100.0
2019-04-01,3100.0,3100.0
2019-04-06,3300.0,3100.0
2019-04-11,3300.0,3100.0
2019-04-16,3100.0,3100.0
2019-04-21,3300.0,3100.0
2019-04-26,3300.0,3100.0
2019-05-01,3300.0,3100.0
2019-05-06,3300.0,3100.0
2019-05-11,3500.0,3100.0
2019-05-16,3500.0,3100.0
2019-05-21,3300.0,3100.0
2019-05-26,3500.0,3100.0
2019-05-31,3700.0,3100.0
2019-06-05,3100.0,3100.0
2019-06-10,3600.0,3300.0
2019-06-15,3300.0,3300.0
2019-06-20,3800.0,3300.0
2019-06-25,3300.0,3300.0
2019-06-30,3300.0,3300.0
2019-07-05,3300.0,3300.0
2019-07-10,3300.0,3300.0
2019-07-15,3300.0,3300.0
2019-07-20,3900.0,3300.0
2019-07-25,3300.0,3300.0
2019-07-30,3300.0,3300.0
2019-08-04,3300.0,3300.0
2019-08-09,3300.0,3300.0
2019-08-14,3300.0,3300.0
2019-08-19,3300.0,3300.0
2019-08-24,3300.0,3300.0
2019-08-29,3300.0,3300.0
2019-09-03,3300.0,3300.0
2019-09-08,3300.0,3300.0
2019-09-13,3300.0,3300.0
2019-09-18,3300.0,3300.0
2019-09-23,3300.0,3300.0
2019-09-28,3300.0,3300.0
2019-10-03,3300.0,3300.0
2019-10-08,3300.0,3300.0
2019-10-13,3300.0,3300.0
2019-10-18,3300.0,3300.0
2019-10-23,3300.0,3300.0
2019-10-28,3300.0,3300.0
2019-11-02,3300.0,3300.0
2019-11-07,3300.0,3300.0
2019-11-12,3300.0,3300.0
2019-11-17,3300.0,3300.0
2019-11-22,3300.0,3300.0
2019-11-27,3300.0,3300.0
2019-12-02,3300.0,3300.0
2019-12-07,3300.0,3300.0
2019-12-12,3300.0,3300.0
2019-12-17,3300.0,3300.0
2019-12-22,3300.0,3300.0
2019-12-27,3300.0,3300.0
2020-01-01,3300.0,3300.0
2020-01-06,3300.0,3300.0
2020-01-11,3300.0,3300.0
2020-01-16,3300.0,3300.0
